item_id,sentence,lang_LH_AntTemp,lang_LH_IFG,lang_LH_IFGorb,lang_LH_MFG,lang_LH_PostTemp,lang_LH_netw
B.1,Taste that fowl and those fish.,0.31203292,0.503357738,0.171333328,0.496015242,0.479702804,0.421033246
B.2,All sorts of treasure there too.,0.764862424,0.34045212300000005,1.004542752,0.5246595,0.40856005,0.538993146
B.3,The small flock of birds circled.,-0.34473362,-0.16553941200000002,-0.3682723648,-0.4114621626,-0.38035888799999995,-0.34647943999999997
B.4,The music drums inside my head.,-0.006772319999999965,0.583087758,0.42739280399999996,-0.062055775000000014,0.203668074,0.18736899599999998
B.5,They are very devoted and faithful.,-0.3521695686,-0.36811067399999997,-0.59297329,-0.10878848599999999,-0.28798049800000003,-0.319318302
B.6,What an amazing and wonderful metamorphosis.,-0.66399294,-0.21916060379999996,-0.4634575454,-0.450324292,-0.497019914,-0.5017860479999999
B.7,She began to worry about infection.,0.12573173259999998,-0.18894823479999998,-0.197907659,0.007936628000000001,-0.245036962,-0.11817232999999998
B.8,It has a light tangy flavor.,-0.5032387354,-0.23158889,-0.739495542,-0.596677752,-0.5872903686,-0.531690284
B.9,We love rich tourists on vacation.,-0.03807801579999999,-0.507082562,-0.29457127720000004,-0.271977562,-0.44472962000000005,-0.32271507600000005
B.10,Across the street was a pub.,-0.300581538,-0.842582352,-0.521520358,-0.470477906,-0.754539898,-0.609702508
B.11,Would she put him in jail?,0.6404957020000001,0.518248862,0.62731945,0.822784416,0.772320384,0.701759464
B.12,Where are you keeping it safe?,-0.690706672,-0.13733870140000004,-0.03713740400000002,0.16726133199999998,0.045445898000000026,-0.16692378800000002
B.13,"It was all ridiculous, crazy, insane.",-0.579173052,-0.43004508239999995,-0.12873735144,-0.017332524000000005,-0.37037970800000003,-0.3914077396
B.14,"A childish notion, to be sure.",0.06614932600000001,-0.6178858979999999,0.12431997999999997,-0.23660156400000001,-0.0950079236,-0.1136254096
B.15,Sophia was asleep on the sofa.,-0.818129852,0.21741503559999997,-0.671177362,-0.23335360600000002,-0.680169098,-0.572933714
B.16,Her answer was difficult to grasp.,-0.175996054,0.34140998,-0.1595145678,0.16298264265999998,0.19436938199999998,0.090786774
B.17,It meant waving a white flag.,-0.448616542,-0.33405184920000003,-0.324863194,-0.15622106,0.05154086659999999,-0.165860854
B.18,The crowd burst into spontaneous applause.,-0.36610022100000006,-0.19285437119999999,-0.353504722,-0.24759631,-0.568475508,-0.43201840778000006
B.19,His leg is too badly damaged.,-0.36594076600000003,-0.551058924,-0.656360396,-0.625262,-0.342331706,-0.41432470600000004
B.20,He treated them like puppy dogs.,-0.27876102399999997,-0.1980273780000001,-0.152047404,0.07498893799999999,-0.20465575600000002,-0.19897066200000002
B.21,It looked like a trash heap.,-0.23132763120000002,0.29224478400000004,0.514437284,0.4267030976,0.449905296,0.25287389654
B.22,A car drove down the road.,-0.607113352,-0.6649086280000001,-1.0484711260000001,-0.7996532279999999,-0.8642336650000001,-0.7782067899999999
B.23,People are getting hungry and desperate.,0.37314000399999997,0.19832192199999993,0.14934371200000002,0.31949568,0.13012778600000002,0.218193884
B.24,He held out a duffel bag.,0.240102674,-0.06522759880000002,0.20187110000000003,0.03578636799999999,-0.0713393014,0.03622487299999997
B.25,The movie was entertaining and funny.,-0.478459854,-0.56727448,-1.11868261,-0.6700841216000001,-0.32690319,-0.46978329599999996
B.26,Everyone finished eating every delicious bite.,0.071180664,-0.325873278,0.004663750000000011,0.13022614800000004,0.20049272999999998,0.08525223199999998
B.27,He took another sip of beer.,-0.7619272579999999,-0.445421228,-0.9648555132000001,-0.3246252878,-0.924648294,-0.780111796
B.28,The last time we'd had four.,0.47643439860000003,0.263362062,0.302341728,0.500669542,0.59720963,0.49968537199999996
B.29,Would she not regret this marriage?,0.41618876799999993,0.2476637706,0.113727528,0.6676274068,0.171657428,0.27980382000000004
B.30,Grace and kindness was their strength.,0.10505396200000003,0.197471856,0.3127193558,0.06294533399999995,0.147282886,0.145724082
B.31,He could smell the cooking meat.,-0.23942744999999999,-0.08969338,0.06351719399999996,0.0019689299999999577,-0.05868962,-0.09825682200000001
B.32,In a way it seemed pointless.,-0.13189841600000002,-0.373641554,-0.17229596200000002,-0.643566298,-0.21265866400000003,-0.241295672
B.33,Another dance is about to begin.,0.61466911,0.32856766400000004,0.206306244,-0.247798096,0.398566384,0.3863816096
B.34,Like a voodoo priest or something?,-0.13536013600000002,0.378380207,-0.07579904600000002,-0.1279265054,-0.24836942599999995,-0.12280600600000002
